#{"t_start": 1771785392.5322988, "env_id": "None"}
r,l,t
-133.577625,200,3.341527
-11.245954,200,3.373397
-58.9372,200,3.423776
-102.364247,200,3.459107
-72.879744,200,3.490298
-10.57,200,3.745969
-5.74,200,3.979691
-19.559854,200,4.222488
41.47,200,4.485926
-15.4,200,4.772324
8.41,200,5.797335
-6.433333,200,6.100925
1.53,200,6.36779
15.21,200,6.633692
35.801276,200,6.893446
14.137325,200,7.159212
12.08221,200,7.508964
18.666895,200,7.781018
15.262872,200,8.049037
47.503764,200,8.320242
19.292359,200,9.115983
30.17,200,9.403878
54.203053,200,9.727249
45.646932,200,10.013681
55.568658,200,10.289409
39.398623,200,10.563192
44.370421,200,10.829232
57.943594,200,11.11305
39.42988,200,11.410138
53.971665,200,11.703723
54.806684,200,12.719094
51.657724,200,13.018763
54.812233,200,13.310425
44.616166,200,13.585532
45.365322,200,13.866318
63.594081,200,14.160623
60.793427,200,14.43354
51.055895,200,14.715049
54.837966,200,14.984707
52.469607,200,15.264843
56.065825,200,16.154083
69.276886,200,16.459422
67.854529,200,16.771124
44.233526,200,17.093566
37.99665,200,17.384333
50.785053,200,17.69581
55.374492,200,18.044936
49.03166,200,18.416695
56.028819,200,18.769615
48.463107,200,19.150455
67.03403,200,20.017936
57.645325,200,20.351856
49.861241,200,20.691788
61.005472,200,20.997295
63.749964,200,21.343846
52.897517,200,21.631002
42.231828,200,21.908001
62.644559,200,22.212259
52.847952,200,22.497196
38.761945,200,22.764696
50.733638,200,23.625169
56.02106,200,23.885966
45.067476,200,24.157331
45.137182,200,24.41825
61.782831,200,24.778856
53.176134,200,25.107204
52.017932,200,25.384309
63.783441,200,25.732198
52.227236,200,25.999342
65.806693,200,26.32437
45.063083,200,27.251768
66.796,200,27.603937
55.403233,200,27.949588
56.485248,200,28.31349
63.282614,200,28.673448
48.424933,200,29.025537
53.055687,200,29.407232
50.844758,200,29.733173
61.253508,200,30.068974
48.516659,200,30.417075
58.268429,200,31.332796
54.78334,200,31.630031
53.358208,200,31.912956
61.08824,200,32.244094
61.676375,200,32.565911
59.528154,200,32.916242
66.646329,200,33.190621
45.542489,200,33.468009
73.368367,200,33.741132
66.354085,200,34.00822
56.014177,200,34.77531
66.82218,200,35.047261
66.326881,200,35.34849
66.704655,200,35.661604
68.167306,200,35.986897
47.356203,200,36.308079
54.926329,200,36.626097
45.764769,200,36.9142
51.443256,200,37.186923
59.918051,200,37.514778
